Shelley Reviewed ,Date,Brand,Item Count,Priorty,Item sheet link,image link,Preksha ,Reveied by Duddy ,Preksha Comments ,David Comment
,,Razor,30,,https://docs.google.com/spreadsheets/d/1Q7ltzpx-fTM4aSOcUk-Fgpvba82k00iTjNF1zhQB27I/edit?usp=drive_link,,,,,
,,Nickelodeon,30,,,,,,,
,,Dragon Ball Z,30,,,,,,,
,,LITTLE TIKES,30,,,,,,,
,,Atiko,29,YES,https://docs.google.com/spreadsheets/d/1B4lKooxcy906f938o2ZHg5tXQkvAyDJ18EqIqad3diM/edit?usp=sharing,"https://drive.google.com/file/d/1lGWQvSxQeFakq-kgN8uWQqOCTWTogla6/view?usp=drive_link, https://drive.google.com/file/d/1R9Co6uiAx7vIEEDAlvPatllJcTQUqdbU/view?usp=drive_link, https://drive.google.com/file/d/1cUkMdwPE4VtfEVIe0ONKF8ERDxGiO2eg/view?usp=drive_link, https://drive.google.com/file/d/1prQ1vM3q7qyN4a7qlS2_BdCno8hFhLXE/view?usp=drive_link, https://drive.google.com/file/d/19TbkjEa7w_0705b5NiMzti2VPnlsEFHi/view?usp=drive_link, https://drive.google.com/file/d/12HDispvZJE1WTzufuGExeZAR7jRlW6Mb/view?usp=drive_link, https://drive.google.com/file/d/1sW2LFaHtjHOj0Dh8DwdcOlHfZ7EYDvw0/view?usp=drive_link, https://drive.google.com/file/d/1IxQHPQcYgXxyKYoHGZi6UaA9zviZ66T1/view?usp=drive_link, https://drive.google.com/file/d/17moR-i7lKH0KZ-McFl7yuWUf2avkx1yp/view?usp=drive_link, https://drive.google.com/file/d/1f6_v2PxR9u7kc92YV_P4cx6eK_jtm957/view?usp=drive_link, https://drive.google.com/file/d/162LeTlzCo0V-f2LnEGcQwOyLI7WvP5iv/view?usp=drive_link, https://drive.google.com/file/d/12YbnYlKF2rhsxWRH7Be__N92MNc1GThP/view?usp=drive_link, https://drive.google.com/file/d/1puzzLs7W3hRwzWQhRv0ss5Qy5ohWDHxk/view?usp=drive_link, https://drive.google.com/file/d/1OWmaaAVUMZgW-1oJ7Var9NHu0OG_0H-S/view?usp=drive_link, https://drive.google.com/file/d/1vDbhfhXaz0lDuh8EbYzcEfZrpdi8mBzo/view?usp=drive_link, https://drive.google.com/file/d/1W00UEGzzh6CE863fLwfikSW-xuj39DJm/view?usp=drive_link, https://drive.google.com/file/d/18devINx_rKIxr_62632eGBoBJ3dZwt1o/view?usp=drive_link",,,Ready To Review,
,,Gabby`s Dollhouse,29,,,,,,,
,,Baby Alive,29,,,,,,,
,,Judaica Press,28,,,,,,,
,,Nerf,28,,,,,,,
,,Pressman,28,,,,,,,
,,Sponge Bob,28,,,,,,,
,,Mitzvah Family,27,,,,,,,
,,Toy Story,27,,,,,,,
,,A+Homework,27,,,,,,,
,,Oppenheimer,27,,,,,,,
,,FISKARS,26,,,,,,,
,,Fantasma,26,,,,,,,
,,iScholar,26,,,,,,,
,,3M,26,,,,,,,
,,K'NEX,25,,,,,,,
,,Creative Kids,25,,,,,,,
,,BLUE ORANGE,25,,,,,,,
,,ALEX,25,,,,,,,
,,Astor Chocolate,25,,,,,,,
,,Zweet,25,,,,,,,
,,Puffin Books,24,,,,,,,
,,Step 2,24,,,,,,,
,,Yookidoo,24,,,,,,,
,,Goliath,24,,,,,,,
,,Five Nights of Freddy,23,,,,,,,
,,Teenage Mutant Ninja Turtles,23,,,,,,,
,,Winnie The Pooh,22,,,,,,,
,,Lilo & Stitch,22,,,,,,,
,,Beyblades,22,,,,,,,
,,FAT BRAIN TOY CO.,22,,,,,,,
,,Wrebbit,22,,,,,,,
,,Smart games,22,,,,,,,
,,Do A Dot Art,22,,,,,,,
,,Marvin's Magic,21,Yes,,,,,,
,,Schleich,21,,,,,,,
,,Armitron,21,,,,,,,
,,Amigo Games,21,,,,,,,
,,CRAFTADOO,21,,,,,,,
,,Jewish Educational Toys,21,,,,,,,
,,SANDS,20,yes,https://docs.google.com/spreadsheets/d/1tG-FDZNW-Mbyp0uQU1oR_nMiahKHpMEv2p8wYKgo5uM/edit?usp=drive_link,https://docs.google.com/spreadsheets/d/1XkOEoCVd6PtbqxNxIMcgppskB9MwHXBkKbocgRoZK3Q/edit?usp=sharing,,,,
,,Tolo,20,,,,,,,
,,Minecraft,20,,,,,,,
,,Cindus,20,,,,,,,
,,Rainbow High,20,,,,,,,
,,Blubel,20,,,,,,,
,,Maco,20,,,,,,,
,,KIDZTECH,19,Yes,,,,,,
,,Ovvel,19,,,,,,,
,,Handee,18,,,,,,,
,,Naruto,18,,,,,,,
,,Segway,18,,,,,,,
,,Fashion Angels,18,,,,,,,
,,clics,17,,,,,,,
,,Gamewright,17,,,,,,,
,,Kids Preferred,17,,,,,,,
,,Duncan,17,,,,,,,
,,Godzilla,16,,,,,,,
,,Sassy,16,,,,,,,
,,Penguin,16,,,,,,,
,,Blues Clues,16,,,,,,,
,,Pop Icons,15,,,,,,,
,,Tonies,15,,,,,,,
,,PANASONIC,15,,,,,,,
,,Toy Network,15,,,,,,,
,,Perplexus,14,,,,,,,
,,SPEEDO,14,,,,,,,
,,BANAZI,14,,,,,,,
,,Mattel,14,,,,,,,
,,mefoar,14,,,,,,,
,,Champion Sports,14,,,,,,,
,,Cocomelon,14,,,,,,,
,,Abstract,13,,,,,,,
,,Harry Potter,13,,,,,,,
,,Lchaim Kinder,13,,,,,,,
,,Dimensions,13,,,,,,,
,,ELMER'S,13,,,,,,,
,,Incredible Group,13,,,,,,,
,,Matchbox,13,,,,,,,
,,New York Puzzle Company,13,,,,,,,
,,bulk buys,13,,,,,,,
,,GI Joe,13,,,,,,,
,,Brainwright,13,,,,,,,
,,FIVE STAR,13,,,,,,,
,,Schylling,13,,,,,,,
,,Playkidiz Art,12,yes,,,,,,
,,Masters of the Universe,12,,,,,,,
,,Magic the Gathering,12,,,,,,,
,,Just Like Home,12,,,,,,,
,,Kenda,12,,,,,,,
,,Sony,12,,,,,,,
,,AMBY,12,,,,,,,
,,Everbright Trading,12,,,,,,,
,,How to Train Your Dragon,12,,,,,,,
,,Disney,12,,,,,,,
,,EUROGEAR,12,,,,,,,
,,Goliath,12,,,,,,,
,,Daulan Art,12,,,,,,,
,,FUBBLES,12,,,,,,,
,,American Doll,11,,,,,,,
,,Pacon,11,,,,,,,
,,Bratz,11,,,,,,,
,,TRANSCEND,11,,,,,,,
,,Demon Slayer,11,,,,,,,
,,Kultz,11,,,,,,,
,,Disney Cars,11,,,,,,,
,,WESTCLOX,11,,,,,,,
,,SLIMYSAND,10,,,,,,,
,,BASIC FUN,10,,,,,,,
,,Eclips,10,,,,,,,
,,Descendants,10,,,,,,,
,,Disney's Wish,10,,,,,,,
,,Ceaco,10,,,,,,,
,,SHARPIE,10,,,,,,,
,,EXPO,10,,,,,,,
,,Saint Seiya,10,,,,,,,
,,AmoreCreations,10,,,,,,,
,,Obilo,10,,,,,,,
,,EVEREST,10,,,,,,,
,,PAPER CRAFT,10,,,,,,,
,,Energizer,9,,,,,,,
,,OOPS,9,,,,,,,
,,Micro,9,,,,,,,
,,Baby Shark,9,,,,,,,
,,Hasbro,9,,,,,,,
,,Avatar,9,,,,,,,
,,King Kong,8,,,,,,,
,,Doorables,8,,,,,,,
,,staedtler,8,,,,,,,
,,Labubu,8,,,,,,,
,,Kinder Crafts,8,,,,,,,
,,White Mountain,8,,,,,,,
,,Swingline,8,,,,,,,
,,Zazers,8,,,,,,,
,,Bakugan,8,,,,,,,
,,Aeromax,8,,,,,,,
,,Ms.Rachel,8,,,,,,,
,,Silverlit,8,,,,,,,
,,Bubblegum Stuff,7,https://docs.google.com/spreadsheets/d/1xGFO9UdbX6J5wnYa5ws6tDvFYETAbM0N-xdEzPVDAYE/edit?usp=sharing,https://drive.google.com/drive/folders/1Jju7UoseYta7Orbte_2NnUbq_Hlz4gaU?usp=drive_link,,,,Ready to review,
,,Spinmaster,117,https://docs.google.com/spreadsheets/d/1ApXm_6bRTKzo-2Y6hF8DSnFuf-kBnGtUuZigmJX1N6Y/edit?usp=sharing,https://drive.google.com/drive/folders/1btZ1V1dDHmlUXyYrfes2HjSrsJzwAOtu?usp=drive_link,,,,Ready to review,
,,HarperCollins,7,,,,,,,
,,Water Sports,7,,,,,,,
,,Jazzwares,7,,,,,,,
,,Mini Brands,7,,,,,,,
,,The Elf on the Shelf,7,,,,,,,
,,The Magic School Bus,7,,,,,,,
,,Office Depot,7,,,,,,,
,,Cry Babies,7,,,,,,,
,,Superio,7,,,,,,,
,,LOL Surprise,7,,,,,,,
,,Kidoozia,6,,,,,,,
,,Nee Doh,6,,,,,,,
,,JBL,6,,,,,,,
,,Sandisk,6,,,,,,,
,,Miniverse,6,,,,,,,
,,Wicked,6,,,,,,,
,,Stranger Things,6,,,,,,,
,,Aquablu,6,,,,,,,
,,Stretcheez,6,,,,,,,
,,Dolphin Hat Games,6,,,,,,,
,,ImagineTRAX,6,,,,,,,
,,ICEE,6,,,,,,,
,,Mehron,6,,,,,,,
,,Grant Bowman,6,,,,,,,
,,Thin Air,6,,,,,,,
,,Hi-Q,6,,,,,,,
,,Spirograph,6,,,,,,,
,,Zipin,6,,,,,,,
,,My Hero Academia,5,,,,,,,
,,Lion King,5,,,,,,,
,,UP & UP,5,,,,,,,
,,Power Rangers,5,,,,,,,
,,Alliance,5,,,,,,,
,,TENZI,5,,,,,,,
,,Handstand Kitchen,5,,,,,,,
,,Casio,5,,,,,,,
,,Roll It,5,,,,,,,
,,Cookeez,5,,,,,,,
,,One for Fun,5,,,,,,,
,,mattel,5,,,,,,,
,,Mattel Spirit,5,,,,,,,
,,Zootopia,5,,,,,,,
,,Steve Spangler,5,,,,,,,
,,SUNNY DAYS,4,,,,,,,
,,Yu-Gi-Oh,4,,,,,,,
,,IMPECCA,4,,,,,,,
,,You & Me,4,,,,,,,
,,Minions,4,,,,,,,
,,Upper Deck,4,,,,,,,
,,Goo Jit Zu,4,,,,,,,
,,Radio Flyer,4,,,,,,,
,,simply,4,,,,,,,
,,BubblePlay,4,,,,,,,
,,Yiddish Toys,4,,,,,,,
,,Miku,4,,,,,,,
,,UNO,4,,,,,,,
,,Peppa Pig,4,,,,,,,
,,Mega Bloks,4,,,,,,,
,,Pilot,3,,,,,,,
,,Digimon,3,,,,,,,
,,Pac-man,3,,,,,,,
,,Rolife,3,,,,,,,
,,Fortnite,3,,,,,,,
,,OHKA,3,,,,,,,
,,Dumbo,3,,,,,,,
,,Norcom,3,,,,,,,
,,Tombow,3,,,,,,,
,,Gundam,3,,,,,,,
,,Grin,3,,,,,,,
,,elite,3,,,,,,,
,,Splash,3,,,,,,,
,,Monogram,3,,,,,,,
,,Lily Collecdion,3,,,,,,,
,,KPop,3,,,,,,,
,,WREBBIT,3,,,,,,,
,,KROEGER,3,,,,,,,
,,Warhammer,3,,,,,,,
,,Monopoly,3,,,,,,,
,,Spawn,3,,,,,,,
,,Horizon,3,,,,,,,
,,Home Alone,3,,,,,,,
,,SHARP,2,,,,,,,
,,Ultraman,2,,,,,,,
,,Dreamworks Dragon,2,,,,,,,
,,Sharper Image,2,,,,,,,
,,THE MITZVAH TOTE,2,,,,,,,
,,AEW,2,,,,,,,
,,U Brand,2,,,,,,,
,,MIGHTY JAXX,2,,,,,,,
,,Zoom Sour,2,,,,,,,
,,KITTRICH,2,,,,,,,
,,Pixar,2,,,,,,,
,,Just Play,2,,,,,,,
,,Lchaim Tish,2,,,,,,,
,,Roblox,2,,,,,,,
,,kangaru,2,,,,,,,
,,Retro Toys,2,,,,,,,
,,Evangelion,2,,,,,,,
,,ET,2,,,,,,,
,,Rescue Heroes,2,,,,,,,
,,Tinny Taffy,2,,,,,,,
,,Tokyo Revengers,2,,,,,,,
,,Loyal Subjects,2,,,,,,,
,,Yippy Dippy,2,,,,,,,
,,RANENU,2,,,,,,,
,,magic the gathering,2,,,,,,,
,,Funko,2,,,,,,,
,,Beast Kingdom,2,,,,,,,
,,FurReal,2,,,,,,,
,,Strawberry Shortcake,2,,,,,,,
,,Gumby,2,,,,,,,
,,Coca-Cola,2,,,,,,,
,,greentouch,2,,,,,,,
,,Tamagotchi,2,,,,,,,
,,Blippi,2,,,,,,,
,,TALICOR,2,,,,,,,
,,HUFFY,2,,,,,,,
,,Zeekio,2,,,,,,,
,,CIPTON,2,,,,,,,
,,SD Cards,2,,,,,,,
,,Bigjigs Toys,2,,,,,,,
,,YART,2,,,,,,,
,,Hotaling,2,,,,,,,
,,Jelloz,2,,,,,,,
,,Jujutsu Kaisen,2,,,,,,,
,,Lechaim Productions,2,,,,,,,
,,Aquabeads,2,,,,,,,
,,Gund,2,,,,,,,
,,BJ Toys,1,,,,,,,
,,Action Game,1,,,,,,,
,,Aladdin,1,,,,,,,
,,Action Heroes,1,,,,,,,
,,Deadpool,1,,,,,,,
,,Toys R Us,1,,,,,,,
,,Darice,1,,,,,,,
,,Bleach,1,,,,,,,
,,Toysmith,1,,,,,,,
,,Wakanda,1,,,,,,,
,,Dee Best,1,,,,,,,
,,TRU Kids Inc,1,,,,,,,
,,Compound King,1,,,,,,,
,,Chazak dist,1,,,,,,,
,,CHINUCH STEP BY STEP INC.,1,,,,,,,
,,Aviv Judaica,1,,,,,,,
,,Cars,1,,,,,,,
,,Astro Venture,1,,,,,,,
,,Bambi,1,,,,,,,
,,ArtSkills,1,,,,,,,
,,Arizona Tea,1,,,,,,,
,,UNO,1,,,,,,,
,,Bananagrams,1,,,,,,,
,,Daniel Tiger,1,,,,,,,
,,Wizard of the Coast,1,,,,,,,
,,BOX CANDIY,1,,,,,,,
,,Barney,1,,,,,,,
,,Twister,1,,,,,,,
,,TWINKELZ,1,,,,,,,
,,Crownline,1,,,,,,,
,,X-Men,1,,,,,,,
,,CultureFly,1,,,,,,,
,,Dan Da Dan,1,,,,,,,
,,Best Choice Products,1,,,,,,,
,,Polly Pocket,1,,,,,,,
,,Disney Junior,1,,,,,,,
,,Nature Bound,1,,,,,,,
,,Mr.Potato Head,1,,,,,,,
,,Mortal Kombat,1,,,,,,,
,,Scientific Explorer,1,,,,,,,
,,Scooby-Doo!,1,,,,,,,
,,SCOTCH,1,,,,,,,
,,Shai Publishing,1,,,,,,,
,,MGA,1,,,,,,,
,,Sharpie,1,,,,,,,
,,Mefoar,1,,,,,,,
,,MAXELL,1,,,,,,,
,,Magic Tree House,1,,,,,,,
,,luckt,1,,,,,,,
,,Small Foot,1,,,,,,,
,,Little Tikes,1,,,,,,,
,,Little People,1,,,,,,,
,,Zuru,1,,,,,,,
,,Little Kids,1,,,,,,,
,,Sophia's,1,,,,,,,
,,Spider Man,1,,,,,,,
,,krazy glue,1,,,,,,,
,,Mushplushies,1,,,,,,,
,,NBA,1,,,,,,,
,,Kirby,1,,,,,,,
,,Ner Lemohor,1,,,,,,,
,,Playthings,1,,,,,,,
,,PopMart,1,,,,,,,
,,Pucky,1,,,,,,,
,,Playhouse,1,,,,,,,
,,Play Visions,1,,,,,,,
,,Play Figures,1,,,,,,,
,,PJ Mask,1,,,,,,,
,,RASKULLZ,1,,,,,,,
,,Peaceable Kingdom,1,,,,,,,
,,PAPER MATE,1,,,,,,,
,,OfficeMax,1,,,,,,,
,,Notebook,1,,,,,,,
,,NMR Brands,1,,,,,,,
,,"Ninjago, Teenage Mutant Ninja Turtles",1,,,,,,,
,,Royal Langnickel,1,,,,,,,
,,Nigun,1,,,,,,,
,,Ruby Red,1,,,,,,,
,,Rudolph,1,,,,,,,
,,Santiago,1,,,,,,,
,,kleenex,1,,,,,,,
,,Kinetic,1,,,,,,,
,,Toothless,1,,,,,,,
,,Haida Trading,1,,,,,,,
,,Gross Out,1,,,,,,,
,,GPX,1,,,,,,,
,,Giantville,1,,,,,,,
,,Geoffrey,1,,,,,,,
,,Genesis By Macy's,1,,,,,,,
,,Funko,1,,,,,,,
,,The New York Doll Collection,1,,,,,,,
,,Fiz,1,,,,,,,
,,TIMELINK,1,,,,,,,
,,Fast lane,1,,,,,,,
,,Far Out Toys,1,,,,,,,
,,FAO Schwarz,1,,,,,,,
,,Timex,1,,,,,,,
,,EXPO,1,,,,,,,
,,Encanto,1,,,,,,,
,,Elmer's,1,,,,,,,
,,Electronic Toys,1,,,,,,,
,,Dora,1,,,,,,,
,,DOMAGRON Novelty,1,,,,,,,
,,Diverse Marketing,1,,,,,,,
,,Disney Villians,1,,,,,,,
,,hachette,1,,,,,,,
,,Hallmark,1,,,,,,,
,,Hammers and Heels,1,,,,,,,
,,Spy Code,1,,,,,,,
,,KidSource,1,,,,,,,
,,Kidsmania,1,,,,,,,
,,Squad Hero,1,,,,,,,
,,Squishmallows,1,,,,,,,
,,STANLEY,1,,,,,,,
,,JuicyOs,1,,,,,,,
,,Star Trek,1,,,,,,,
,,Jijutsu,1,,,,,,,
,,JCT,1,,,,,,,
,,Sticko,1,,,,,,,
,,iscream,1,,,,,,,
,,Iron Giant,1,,,,,,,
,,Imaginarium,1,,,,,,,
,,Imagenext,1,,,,,,,
,,IDM,1,,,,,,,
,,Hello Kitty,1,,,,,,,
,,Hedbanz,1,,,,,,,
,,HaPe,1,,,,,,,
,,handee,1,,,,,,,
,,T4U - Mitzvah Kinder,1,,,,,,,
,,Little Mermaid,1,,,,,,,