Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Department,Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft続),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft続),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft続),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft続),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
https://cdn.powered-by-nitrosell.com/product_images/11/2547/756542319987%203D%20DIY%20Sukkah%20model.jpg,BZS25,Leishev BaSukkah 3D Sukkah Model Craft Kit,Leishev BaSukkah 3D Sukkah Model Craft Kit,Leishev BaSukkah 3D Sukkah Model Craft Kit,Leishev BaSukkah 3D Sukkah Model Craft Kit,Arts & Crafts,Judaica Crafts,,BZ Kinder,BZ Kinder,756542319987,756542319987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://toys4you-fcpos.s3.us-east-2.amazonaws.com/BAEAQBAEAQBAEAQBAf_Z_e999d273-a52d-49db-b70d-ea1b28e4e609.jpg,BZD01,diamondz - sukkahs set,diamondz - sukkahs set,diamondz - sukkahs set,diamondz - sukkahs set,Arts & Crafts,Judaica Crafts,,BZ Kinder,BZ Kinder,696168620114,696168620114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://toys4you-fcpos.s3.us-east-2.amazonaws.com/GtLV9JQAutdrgrtAH_Z_e6278d68-457d-4853-8017-e2cf935aa01a.jpg,BZD02,Dimondz 8x8 Dovid Hamelech,Dimondz 8x8 Dovid Hamelech,Dimondz 8x8 Dovid Hamelech,Dimondz 8x8 Dovid Hamelech,Arts & Crafts,Judaica Crafts,,BZ Kinder,BZ Kinder,696168620053,696168620053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://toys4you-fcpos.s3.us-east-2.amazonaws.com/H5jUIVBxCEIUMz_2Q_9f08ee3c-24dd-4e88-9cae-74cf0e76e3bf.jpg,BZS15,MOSAIC ART Lulav and Esrog Diamond Art,MOSAIC ART Lulav and Esrog Diamond Art,MOSAIC ART Lulav and Esrog Diamond Art,MOSAIC ART Lulav and Esrog Diamond Art,Arts & Crafts,Judaica Crafts,,BZ Kinder,BZ Kinder,731716157633,731716157633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://toys4you-fcpos.s3.us-east-2.amazonaws.com/ooooAooooAooooD_2Q_1de44eb5-155a-4f22-9d61-cbc728aa7326.jpg,,Velvet Ushpizin Art,Velvet Ushpizin Art,Velvet Ushpizin Art,Velvet Ushpizin Art,Arts & Crafts,Judaica Crafts,,BZ Kinder,BZ Kinder,696168619170,696168619170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/files/BZD07_400x.jpg?v=1684341533,BZD07,Dimondz 3x3 Lulav Esrog,Dimondz 3x3 Lulav Esrog,Dimondz 3x3 Lulav Esrog,Dimondz 3x3 Lulav Esrog,Arts & Crafts,Judaica Crafts,,BZ Kinder,BZ Kinder,696168619200,696168619200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/files/bzs12withoutplastic_273x.png?v=1690229430,BZS12,Ushpizin Puffy Stickers,Ushpizin Puffy Stickers,Ushpizin Puffy Stickers,Ushpizin Puffy Stickers,Arts & Crafts,Judaica Crafts,,BZ Kinder,BZ Kinder,731716158722,731716158722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/files/BZS14_c55f8acb-3e10-438c-a489-f2dc1e0d8f74_400x.jpg?v=1693251402,BZS14,Diamondz Ushpizen Ornaments,Diamondz Ushpizen Ornaments,Diamondz Ushpizen Ornaments,Diamondz Ushpizen Ornaments,Arts & Crafts,Judaica Crafts,,BZ Kinder,BZ Kinder,731716158760,731716158760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/files/BZS16_400x.jpg?v=1735754195,BZS16,Hanging Star Canvas,Hanging Star Canvas,Hanging Star Canvas,Hanging Star Canvas,Arts & Crafts,Judaica Crafts,,BZ Kinder,BZ Kinder,696168619194,696168619194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/files/BZS18_400x.jpg?v=1722870147,BZS18,Yehudah Ben Taima Ornaments,Yehudah Ben Taima Ornaments,Yehudah Ben Taima Ornaments,Yehudah Ben Taima Ornaments,Arts & Crafts,Judaica Crafts,,BZ Kinder,BZ Kinder,696168619385,696168619385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/files/BZS19_400x.jpg?v=1732643795,BZS19,Craft By Number Kever Rochel,Craft By Number Kever Rochel,Craft By Number Kever Rochel,Craft By Number Kever Rochel,Arts & Crafts,Judaica Crafts,,BZ Kinder,BZ Kinder,791126052317,791126052317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/files/BZS21_400x.png?v=1727113988,BZS21,Light Up Yerushalayim Sukkos Craft,Light Up Yerushalayim Sukkos Craft,Light Up Yerushalayim Sukkos Craft,Light Up Yerushalayim Sukkos Craft,Arts & Crafts,Judaica Crafts,,BZ Kinder,BZ Kinder,696168620459,696168620459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/files/BZS22_0aaaa219-b158-4016-a653-37c4a664efe2_400x.png?v=1727114218,BZS22,Light up Craft Bird,Light up Craft Bird,Light up Craft Bird,Light up Craft Bird,Arts & Crafts,Judaica Crafts,,BZ Kinder,BZ Kinder,696168620466,696168620466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/files/BZS23_400x.jpg?v=1732643803,BZS23,Craft by Number Bais Hamikdosh,Craft by Number Bais Hamikdosh,Craft by Number Bais Hamikdosh,Craft by Number Bais Hamikdosh,Arts & Crafts,Judaica Crafts,,BZ Kinder,BZ Kinder,610371732884,610371732884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/files/CC23_306x.jpg?v=1727114369,BZS24,Craft Melodies of Yerushalayim Design,Craft Melodies of Yerushalayim Design,Craft Melodies of Yerushalayim Design,Craft Melodies of Yerushalayim Design,Arts & Crafts,Judaica Crafts,,BZ Kinder,BZ Kinder,756542319819,756542319819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/products/diamondz_400x.png?v=1658775885,BZS11,Diamondz Ushpizin,Diamondz Ushpizin,Diamondz Ushpizin,Diamondz Ushpizin,Arts & Crafts,Judaica Crafts,,BZ Kinder,BZ Kinder,731716158715,731716158715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/products/Screenshot2022-01-28115037_290x.png?v=1643389610,BZS04,Ushpizin Scratch Art,Ushpizin Scratch Art,Ushpizin Scratch Art,Ushpizin Scratch Art,Arts & Crafts,Judaica Crafts,,BZ Kinder,BZ Kinder,731716157398,731716157398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/products/Screenshot2022-02-01115825_294x.png?v=1643735349,BZS05,Velvet Art Ushpizin,Velvet Art Ushpizin,Velvet Art Ushpizin,Velvet Art Ushpizin,Arts & Crafts,Judaica Crafts,,BZ Kinder,BZ Kinder,731716157336,731716157336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/products/Screenshot2022-02-01115825_294x.png?v=1643735349,BZS13,Velvet Art Ushpizin,Velvet Art Ushpizin,Velvet Art Ushpizin,Velvet Art Ushpizin,Arts & Crafts,Judaica Crafts,,BZ Kinder,BZ Kinder,731716158739,731716158739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/products/Screenshot2022-02-02161928_202x.png?v=1643836951,BZS02,Sticker Art Vesamachtah Bchagecha,Sticker Art Vesamachtah Bchagecha,Sticker Art Vesamachtah Bchagecha,Sticker Art Vesamachtah Bchagecha,Arts & Crafts,Judaica Crafts,,BZ Kinder,BZ Kinder,731716157343,731716157343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/products/Screenshot2022-02-02162336_335x.png?v=1643837143,BZS03,Sticker Art Beruchim Habaim,Sticker Art Beruchim Habaim,Sticker Art Beruchim Habaim,Sticker Art Beruchim Habaim,Arts & Crafts,Judaica Crafts,,BZ Kinder,BZ Kinder,731716157350,731716157350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/products/Screenshot2022-02-02162645_306x.png?v=1643906632,BZS07,Foil Art Sukkah Star,Foil Art Sukkah Star,Foil Art Sukkah Star,Foil Art Sukkah Star,Arts & Crafts,Judaica Crafts,,BZ Kinder,BZ Kinder,731716157527,731716157527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/products/Screenshot2022-02-02162655_304x.png?v=1643906543,BZS06,Sukkos Chain Stick Links,Sukkos Chain Stick Links,Sukkos Chain Stick Links,Sukkos Chain Stick Links,Arts & Crafts,Judaica Crafts,,BZ Kinder,BZ Kinder,731716157510,731716157510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/products/Screenshot2022-02-03114448_303x.png?v=1643906964,BZS08,Mosaic Sukkos Art,Mosaic Sukkos Art,Mosaic Sukkos Art,Mosaic Sukkos Art,Arts & Crafts,Judaica Crafts,,BZ Kinder,BZ Kinder,731716157534,731716157534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/products/Screenshot2022-02-03114500_311x.png?v=1643906824,BZS09,Sukkos Foam Art,Sukkos Foam Art,Sukkos Foam Art,Sukkos Foam Art,Arts & Crafts,Judaica Crafts,,BZ Kinder,BZ Kinder,731716157541,731716157541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BZD15,Diamondz 3x3 Havdala,Diamondz 3x3 Havdala,Diamondz 3x3 Havdala,Diamondz 3x3 Havdala,Arts & Crafts,Judaica Crafts,,BZ Kinder,BZ Kinder,696168619286,696168619286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/products/Screenshot2022-01-27124422_328x.png?v=1643305689,BZS01,Sticker Puzzle Sukkos,Sticker Puzzle Sukkos,Sticker Puzzle Sukkos,Sticker Puzzle Sukkos,Arts & Crafts,Judaica Crafts,,BZ Kinder,BZ Kinder,731716157299,731716157299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/products/Screenshot2022-01-27102153_280x.png?v=1643296931,BZ103,Ready Set Play - Music By NUmber,Ready Set Play - Music By NUmber,Ready Set Play - Music By NUmber,Ready Set Play - Music By NUmber,Baby & Toddler Toys,Activity Books,,BZ Kinder,BZ Kinder,789185828554,789185828554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/files/1_e0c31db5-6348-4ea6-8189-8567b88e657c_400x.png?v=1742321740,59930,Der Zeide Dertzeilt Vayikra,Der Zeide Dertzeilt Vayikra,Der Zeide Dertzeilt Vayikra,Der Zeide Dertzeilt Vayikra,Books,Judaica Books,,BZ Kinder,BZ Kinder,9781680919134,9781680919134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://toys4you-fcpos.s3.us-east-2.amazonaws.com/CAIAgCAIAgCAIAgP_9k_f6473258-0188-4d8e-9b1f-cdedab34cc5e.jpg,Bz138,FLOOR PUZZLE SHABBOS,FLOOR PUZZLE SHABBOS,FLOOR PUZZLE SHABBOS,FLOOR PUZZLE SHABBOS,Games & Puzzles,Judaica Games,,BZ Kinder,BZ Kinder,731716156957,731716156957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://toys4you-fcpos.s3.us-east-2.amazonaws.com/UISoQlQhKhCVCF_2Q_716c408b-de56-433d-9e41-7f4c25c8e6fb.jpg,Bz137,FLOOR PUZZLE PARK,FLOOR PUZZLE PARK,FLOOR PUZZLE PARK,FLOOR PUZZLE PARK,Games & Puzzles,Judaica Games,,BZ Kinder,BZ Kinder,731716156933,731716156933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,